iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
583,3214.00,5941.00,8986.00,646
584,3029.00,5695.00,8586.00,646
585,3056.00,6173.00,8630.00,646
586,2948.00,6011.00,8516.00,646
587,3015.00,5620.00,9058.00,646
588,3089.00,5690.00,9095.00,646
589,2990.00,10632.00,8847.00,646
590,3110.00,6033.00,9205.00,646
591,2907.00,6096.00,8621.00,646
592,2968.00,5606.00,8919.00,646
593,3056.00,5592.00,9469.00,646
594,3063.00,5669.00,72824.00,646
595,5875.00,81859.00,20725.00,646
596,3644.00,6835.00,9250.00,646
597,3511.00,5977.00,14449.00,646
598,3484.00,5886.00,10199.00,646
599,3398.00,8571.00,19185.00,646
600,3123.00,6325.00,9612.00,646
601,9677.00,13852.00,11873.00,646
602,4333.00,6794.00,10369.00,646
603,3596.00,6205.00,9806.00,646
604,3926.00,10259.00,17570.00,646
605,6310.00,28877.00,17892.00,646
606,5557.00,40634.00,19151.00,646
607,4207.00,6419.00,10023.00,646
608,3835.00,5830.00,9716.00,646
609,3549.00,5903.00,24681.00,646
610,3914.00,6664.00,9010.00,646
611,3616.00,6350.00,9425.00,646
612,3162.00,5995.00,9417.00,646
613,3136.00,5747.00,9876.00,646
614,3251.00,6087.00,9212.00,646
615,3680.00,6917.00,9246.00,646
616,3524.00,6199.00,13767.00,646
617,5610.00,27261.00,18514.00,646
618,8926.00,6131.00,9867.00,646
619,3526.00,6200.00,8782.00,646
620,3271.00,6141.00,9091.00,646
621,3219.00,6123.00,13533.00,646
622,3171.00,5837.00,9439.00,646
623,3085.00,5726.00,9462.00,646
624,3233.00,5857.00,8687.00,646
625,3083.00,25900.00,13945.00,646
626,3915.00,6834.00,9182.00,646
627,3382.00,5789.00,9343.00,646
628,3156.00,5823.00,9455.00,646
629,3143.00,5600.00,8907.00,646
630,3196.00,6066.00,8936.00,646
631,3060.00,6018.00,8856.00,646
632,3331.00,6018.00,9384.00,646
633,3365.00,5966.00,9905.00,646
634,3207.00,5651.00,9351.00,646
635,3177.00,6265.00,8858.00,646
636,9888.00,5479.00,8142.00,646
637,2778.00,5201.00,8430.00,646
638,2788.00,5163.00,8444.00,646
639,2744.00,5047.00,8125.00,646
640,2849.00,5634.00,7924.00,646
641,2754.00,5426.00,11233.00,646
642,4759.00,9274.00,12689.00,646
643,2902.00,5182.00,8465.00,646
644,2755.00,5064.00,8117.00,646
645,2842.00,5439.00,8113.00,646
646,2859.00,5413.00,7938.00,646
647,2946.00,5140.00,8381.00,646
648,2798.00,5145.00,8471.00,646
649,2788.00,5149.00,7927.00,646
650,2876.00,5482.00,8166.00,646
651,2774.00,5515.00,8076.00,646
652,2904.00,5192.00,8655.00,646
653,4436.00,5152.00,8399.00,646
654,2754.00,5255.00,8033.00,646
655,2813.00,5546.00,8341.00,646
656,2795.00,5457.00,8018.00,646
657,3298.00,5459.00,8876.00,646
658,2819.00,5153.00,8538.00,646
659,2768.00,5120.00,8086.00,646
660,2842.00,5899.00,8082.00,646
661,2764.00,5475.00,7850.00,646
662,2884.00,5223.00,8465.00,646
663,2854.00,5237.00,9164.00,646
664,2775.00,5354.00,7913.00,646
665,2942.00,5482.00,8110.00,646
666,2749.00,12151.00,8513.00,646
667,2743.00,5246.00,9145.00,646
668,2867.00,5183.00,8509.00,646
669,2902.00,5104.00,7981.00,646
670,2820.00,5484.00,8050.00,646
671,2760.00,5596.00,8125.00,646
672,2857.00,5278.00,8547.00,646
673,2791.00,5163.00,8347.00,646
674,2788.00,5137.00,7972.00,646
675,3136.00,5493.00,8107.00,646
676,2766.00,11063.00,122867.00,646
677,8012.00,7684.00,9600.00,646
678,3135.00,5048.00,8664.00,646
679,2746.00,5227.00,7457.00,646
680,2702.00,5392.00,7869.00,646
681,2674.00,5301.00,7596.00,646
682,2891.00,4842.00,8142.00,646
683,2653.00,4985.00,8127.00,646
684,2519.00,5085.00,7722.00,646
685,2582.00,31186.00,19861.00,646
686,5411.00,8696.00,8342.00,646
687,2637.00,6046.00,7982.00,646
688,2603.00,4816.00,7654.00,646
689,2582.00,4791.00,7529.00,646
690,2640.00,5358.00,7752.00,646
